datetime,tide_m,pair,month,day
2023-02-07 11:58:00,1.52,2,2,7
2023-02-07 16:27:00,1.07,3,2,7
2023-02-07 22:42:00,2.41,4,2,7
2023-02-08 06:24:00,0.38,1,2,8
2023-02-08 12:16:00,1.57,2,2,8
2023-02-08 17:08:00,1.02,3,2,8
2023-02-08 23:16:00,2.34,4,2,8
2023-02-09 06:46:00,0.46,1,2,9
2023-02-09 12:36:00,1.64,2,2,9
2023-02-09 17:49:00,0.99,3,2,9
2023-02-09 23:50:00,2.23,4,2,9
2023-02-10 07:07:00,0.55,1,2,10
2023-02-10 13:00:00,1.71,2,2,10
2023-02-10 18:33:00,0.98,3,2,10
2023-02-11 00:25:00,2.07,1,2,11
2023-02-11 07:29:00,0.67,2,2,11
2023-02-11 13:27:00,1.79,3,2,11
2023-02-11 19:24:00,0.99,4,2,11
2023-02-12 01:03:00,1.86,1,2,12
2023-02-12 07:53:00,0.8,2,2,12
2023-02-12 13:59:00,1.87,3,2,12
2023-02-12 20:27:00,0.99,4,2,12
2023-02-13 01:49:00,1.62,1,2,13
2023-02-13 08:17:00,0.96,2,2,13
2023-02-13 14:39:00,1.95,3,2,13
2023-02-13 21:51:00,0.94,4,2,13
2023-02-14 03:34:00,1.36,1,2,14
2023-02-14 08:41:00,1.12,2,2,14
2023-02-14 15:33:00,2.05,3,2,14
2023-02-14 23:25:00,0.83,4,2,14
2023-02-15 16:41:00,2.17,1,2,15
2023-02-16 01:16:00,0.63,1,2,16
2023-02-16 17:51:00,2.32,2,2,16
2023-02-17 02:30:00,0.39,1,2,17
2023-02-17 09:59:00,1.47,2,2,17
2023-02-17 12:34:00,1.4,3,2,17
2023-02-17 18:59:00,2.48,4,2,17
2023-02-18 03:24:00,0.2,1,2,18
2023-02-18 10:27:00,1.53,2,2,18
2023-02-18 13:49:00,1.31,3,2,18
2023-02-18 20:01:00,2.63,4,2,18
2023-02-19 04:10:00,0.08,1,2,19
2023-02-19 10:55:00,1.57,2,2,19
2023-02-19 14:49:00,1.16,3,2,19
2023-02-19 20:58:00,2.73,4,2,19
2023-02-20 04:51:00,0.04,1,2,20
2023-02-20 11:24:00,1.63,2,2,20
2023-02-20 15:43:00,1.0,3,2,20
2023-02-20 21:51:00,2.75,4,2,20
2023-02-21 05:29:00,0.09,1,2,21
2023-02-21 11:54:00,1.69,2,2,21
2023-02-21 16:34:00,0.86,3,2,21
2023-02-21 22:42:00,2.68,4,2,21
2023-02-22 06:04:00,0.21,1,2,22
2023-02-22 12:22:00,1.77,2,2,22
2023-02-22 17:24:00,0.77,3,2,22
2023-02-22 23:31:00,2.52,4,2,22
2023-02-23 06:34:00,0.38,1,2,23
2023-02-23 12:48:00,1.85,2,2,23
2023-02-23 18:15:00,0.74,3,2,23
2023-02-24 00:16:00,2.28,1,2,24
2023-02-24 06:58:00,0.58,2,2,24
2023-02-24 13:10:00,1.92,3,2,24
2023-02-24 19:08:00,0.76,4,2,24
2023-02-25 01:00:00,1.99,1,2,25
2023-02-25 07:16:00,0.77,2,2,25
2023-02-25 13:29:00,1.97,3,2,25
2023-02-25 20:09:00,0.81,4,2,25
2023-02-26 01:47:00,1.68,1,2,26
2023-02-26 07:32:00,0.96,2,2,26
2023-02-26 13:55:00,2.0,3,2,26
2023-02-26 21:20:00,0.85,4,2,26
2023-02-27 02:54:00,1.39,1,2,27
2023-02-27 07:43:00,1.12,2,2,27
2023-02-27 14:32:00,2.0,3,2,27
2023-02-27 22:47:00,0.85,4,2,27
2023-02-28 15:29:00,1.98,1,2,28
2023-03-01 00:46:00,0.76,1,3,1
2023-03-01 17:04:00,1.98,2,3,1
2023-03-02 02:06:00,0.6,1,3,2
2023-03-02 18:31:00,2.04,2,3,2
2023-03-03 02:51:00,0.48,1,3,3
2023-03-03 19:26:00,2.12,2,3,3
2023-03-04 03:27:00,0.4,1,3,4
2023-03-04 10:27:00,1.49,2,3,4
2023-03-04 13:48:00,1.36,3,3,4
2023-03-04 20:11:00,2.2,4,3,4
2023-03-05 03:58:00,0.36,1,3,5
2023-03-05 10:29:00,1.52,2,3,5
2023-03-05 14:35:00,1.23,3,3,5
2023-03-05 20:51:00,2.27,4,3,5
2023-03-06 04:27:00,0.35,1,3,6
2023-03-06 10:38:00,1.57,2,3,6
2023-03-06 15:14:00,1.09,3,3,6
2023-03-06 21:29:00,2.31,4,3,6
2023-03-07 04:53:00,0.38,1,3,7
2023-03-07 10:50:00,1.64,2,3,7
2023-03-07 15:52:00,0.96,3,3,7
2023-03-07 22:05:00,2.32,4,3,7
2023-03-08 05:17:00,0.43,1,3,8
2023-03-08 11:05:00,1.73,2,3,8
2023-03-08 16:30:00,0.85,3,3,8
2023-03-08 22:40:00,2.29,4,3,8
2023-03-09 05:37:00,0.51,1,3,9
2023-03-09 11:21:00,1.83,2,3,9
2023-03-09 17:08:00,0.77,3,3,9
2023-03-09 23:16:00,2.21,4,3,9
2023-03-10 05:55:00,0.59,1,3,10
2023-03-10 11:41:00,1.93,2,3,10
2023-03-10 17:48:00,0.71,3,3,10
2023-03-10 23:53:00,2.08,4,3,10
2023-03-11 06:15:00,0.7,1,3,11
2023-03-11 12:04:00,2.03,2,3,11
2023-03-11 18:31:00,0.69,3,3,11
2023-03-12 00:32:00,1.9,1,3,12
2023-03-12 06:37:00,0.83,2,3,12
2023-03-12 12:30:00,2.11,3,3,12
2023-03-12 19:20:00,0.68,4,3,12
2023-03-13 01:19:00,1.69,1,3,13
2023-03-13 07:00:00,0.98,2,3,13
2023-03-13 13:01:00,2.17,3,3,13
2023-03-13 20:20:00,0.7,4,3,13
2023-03-14 02:39:00,1.45,1,3,14
2023-03-14 07:20:00,1.14,2,3,14
2023-03-14 13:38:00,2.2,3,3,14
2023-03-14 21:39:00,0.69,4,3,14
2023-03-15 14:30:00,2.21,1,3,15
2023-03-15 23:11:00,0.63,2,3,15
2023-03-16 15:57:00,2.22,1,3,16
2023-03-17 00:59:00,0.5,1,3,17
2023-03-17 17:36:00,2.28,2,3,17
